##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;white;;;;;;;;;X
##;§Y = 208,232,248;orange;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
8300081name;Propose terms of service bill;Proposer la loi sur le service militaire;Proponi una legge sui termini del servizio;Proponer los tйrminos de la ley del servicio;Verlдngerung der Dienstzeit vorschlagen;Propozycja warunkуw sіuїby wojskowej;;Внесение законопроекта об увеличении срока военной службы;;;X
8300081desc;Conscription is the compulsory enrollment of people to military service, it has historically focused on young men but the range of eligible ages may be expanded to meet national demand. The term of service is often initially set but includes the prospect of indefinite extension based on national requirements. Prolonged military Service will result in better trained soldiers, but has a slightly negative influence on your economy. You should be aware, that rapid increase of the conscription period will cost a lot of supplies, and can lead to considerable dissent in your nation. The USA are a special case in DH, you are only to request prolonged terms of service, and the senate may or may not grant the request, but there is always the chance that they attach another bill to it, or simply deny it. The chance of success gets better during times of war.;La conscription est l'inscription obligatoire des personnes au service militaire. La conscription a toujours mis l'accent sur les jeunes hommes, mais l'йventail des вges admissibles peut кtre йlargi pour rйpondre а la demande nationale. La durйe du service est souvent initialement fixйe, mais inclut souvent la perspective d'une prorogation indйfinie en fonction des besoins nationaux. La prolongation du service militaire entraоne la possibilitй d'avoir de meilleurs soldats qui sont mieux formйs, mais a une influence lйgиrement nйgative sur votre йconomie. Vous devez кtre conscient que cette augmentation rapide de la durйe du service militaire va coыter beaucoup de ravitaillement, et peut conduire а un mйcontentement considйrable dans votre nation. Sur Darkest Hour les Etats-Unis sont traitйs а part. Le joueur dйcide ou non de proposer la loi sur le service militaire, et c'est le sйnat qui dйcide si oui ou non la loi est adoptйe. Les chances que la loi soit adoptйe augmentent en temps de guerre.;La coscrizione и l'arruolamento obbligatorio di persone nel servizio militare, storicamente mirato su giovani uomini ma l'intervello di persone idonee puт essere espanso per incontrare la domanda nazionale. I termini del servizio hanno un'impostazione iniziale ma includono la prospettiva di un'estensione indefinita basata sui requisiti nazionali. Prolungare il servizio militare comporterа soldati meglio addestrati, ma avrа un impatto negativo sulla tua economia. Devi essere consapevole che un rapido aumento della coscrizione costerа molti rifornimenti e puт portare a considerabile dissenso nella tua nazione. Gli USA sono un caso speciale in DH, tu puoi solo richiedere l'aumento dei termini del servizio e il senato deciderа se accettare o meno la richiesta ed eventualmente di accettarla aggiungendo un ulteriore proposta di legge. Le probabilitа di successo migliorano in tempi di guerra.;El servicio militar obligatorio es la inscripciуn obligatoria de las personas al servicio militar, se ha centrado histуricamente en los hombres jуvenes, pero el rango de edades elegible puede ser ampliado para satisfacer la demanda nacional. La duraciуn del servicio se define inicialmente, pero incluye la posibilidad de prуrroga indefinida basandose en las necesidades nacionales. Prolongar el servicio militratar proporcionarб soldados mejor entrenados, pero tiene una influencia ligeramente negativa en su economнa. Debe tener en cuenta, que el rбpido aumento del perнodo de servicio militar obligatorio va a costar muchos suministros, y puede llevar a una mayor disension en su paнs. Los EE.UU. son un caso especial en DH, que sуlo puede solicitar prolongadas el servicio, y el Senado pueden acceder o no a la peticiуn, pero siempre existe la posibilidad de que otra ley lo conceda o simplemente lo deniegue. La probabilidad de йxito mejora en tiempos de guerra.;Die allgemeine Wehrpflicht ist ein Konzept, um ьber die Freiwilligen hinaus Mдnner zu den Waffen zu rufen. Im allgemeinen ist die Wehrpflicht auf die jьngeren Jahrgдnge beschrдnkt, was aber auch von der allgemeinen Situation des Landes abhдngt. Die Dienstzeit ist im allgemeinen festgeschrieben, kann aber je nach Lage der Nation auch verlдngert werden. Verlдngerte Dienstzeiten erhцhen zwar die Qualitдt der Ausbildung, werden aber nicht unbedingt die Zustimmung der Bevцlkerung finden. Sie sollten sich darьber im klaren sein, daЯ eine rapide Verlдngerung der Dienstzeiten zu einem erhцhten Nachschubverbrauch fьhrt und von beachtlichem Unmut in der Bevцlkerung begleitet wird. Die USA werden in Darkest Hour insofern anders behandelt, daЯ sie nur eine Verlдngerung der Dienstzeiten vorschlagen kцnnen. Der Senat wird dem zustimmen, an seine Zustimmung Bedingungen knьpfen oder schlichtweg ablehnen. Die Aussichten, eine Zustimmung des Senats zu erwirken, sind in Kriegszeiten grцsser.;Pobуr oznacza przymusowe wcielenie ludzi do sіuїby wojskowej. Historycznie obejmowaіo ono przede wszystkim mіodych ludzi, ale mogіo byж rozszerzane tak, aby speіniж wymagania kraju. Okres poboru jest zazwyczaj wstкpnie okreњlony, ale w zaleїnoњci od potrzeb moїe byж predіuїany. Takie przedіuїanie okresu sіuїby pozwoli na lepsze wytrenowanie rekrutуw, ale bкdzie miaіo nieznacznie negatywny wpіyw na gospodarkк. Naleїy teї zauwaїyж, їe gwaіtowne wydіuїanie okresu sіuїby bкdzie kosztowaіo znaczne iloњci zapasуw i doprowadzi do zauwaїalnego niezadowolenia w spoіeczeсstwie. Stany Zjednoczone s№ specjalnym przypadkiem w grze, gdyї ostateczne sіowo naleїy do senatu, ktуry moїe przyj№ж propozycjк, odrzuciж j№, lub zmieniж jej warunki. Szansa na powodzenie jest znacznie wiкksza w czasie wojny.;;Воинская обязанность - обязанность граждан с оружием в руках защищать государство и нести военную службу в рядах вооружённых сил. Исторически она была ориентирована на молодых мужчин, однако диапазон приемлемых возрасте может быть расширен в целях удовлетворения национальных потребностей. Чаще всего первоначально устанавливается определенный срок службы, с возможностью бессрочного продления в интересах государства. Более длительная военная служба будет способствовать лучшей подготовке солдат, однако, вместе с тем, окажет определенное негативное влияние на экономику. Вы должны знать, что быстрое увеличение срока службы будет стоить значительного количества припасов и может привести к существенному росту недовольства в Вашей стране. США представляют собой особый случай в DH - вы можете лишь внести законопроект об увеличении срока военной службы, а Сенат, в свою очередь, может либо принять, либо отклонить это предложение. Каждый раз в подобной ситуации существует вероятность того, что сенаторы наконец-то примут законопроект или же вновь отклонят его. После вступления в войну шансы на положительное решение становятся существенно выше.;;;X
8300062desc;Partial Mobilization means the expansion of the active armed forces and activation of Ready Reserve component units, individual reservists, and the resources needed for their support to meet the requirements of a war or other national emergency. Enacting a partial mobilisation during peacetime may cost a lot of supplies, and can lead to considerable dissent in your nation. The Mobilization of reservist will have an impact on your economy.;La mobilisation partielle signifie l'extention des forces armйes actives et l'activation des unitйs prкtes de la rйserve, et les ressources dont ils ont besoin pour soutenir une guerre ou une catastrophe naturelle. Mobiliser partiellement en temps de paix peut coыter beaucoup de ravitaillement, et peut mener а une instabilitй considйrable dans votre pays. La mobilisation des rйserves aura un impact sur votre йconomie.;Mobilizzazione Parziale significa l'espansione delle forze armate attive, l'attivazione dei Riservisti e l'incremento delle risorse necessarie al loro supporto per affrontare i requisiti di una guerra o di un'emergenza nazionale. Attivare una mobilizzazione parziale in tempi di pace puт costare un sacco di rifornimenti e puт portare a considerabile dissenso nella tua nazione. La Mobilizzazione dei riservisti avrа un forte impatto sulla tua economia.;La movilizaciуn parcial significa la expansiуn de las fuerzas armadas activas y la activaciуn de las unidades componentes de la Reserva Preparada, los reservistas individuales, y los recursos que necesiten para cumplir con los requisitos de una guerra u otra emergencia nacional. La promulgaciуn de una movilizaciуn parcial en tiempo de paz puede costar una gran cantidad de suministros, y puede llevar a una considerable disension en su paнs. La movilizaciуn de los reservistas tendrб un impacto en su economнa.;Teilweise Mobilmachung bedeutet die Vergrцsserung der Streitkrдfte und Aktivierung von Reserveeinheiten und Reservisten sowie die Bereitstellung von Nachschubgьtern, um auf die aktuellen Kriegsbedingungen oder nationale Notstдnde zu reagieren. In Friedenszeiten teilweise mobil zu machen wird sie viele Nachschubgьter kosten, zu Unruhe in der Bevцlkerung fьhren und Einfluss auf die Wirtschaft haben.;Czкњciowa mobilizacja oznacza rozszerzenie aktywnych siі wojskowych poprzez powoіanie siі rezerwy, indywidualnych rezerwistуw, a takїe zaangaїowanie zapasуw potrzebnych do realizacji przygotowania do wojny. Wprowadzenie czкњciowej mobilizacji podczas pokoju moїe kosztowaж wiele zapasуw i doprowadziж do znacznego wzrostu niezadowolenia w spoіeczeсstwie. Mobilizacja rezerwistуw bкdzie miaіa wpіyw na ekonomiк kraju.;;Частичная мобилизация означает увеличение численности действующей армии путем мобилизации готовых резервных подразделений, индивидуальных резервистов и накопления ресурсов, необходимых для ведения войны. Объявление частичной мобилизации в мирное время будет стоить значительного количества припасов и приведет к существенному росту недовольства в вашей стране. Кроме того, мобилизация резервистов окажет влияние и на вашу экономику.;;;X
DEC_8300062_DESC;Democracies can enact partial mobilization only when they are at war, or after the Treaty of Munich when their capital is in Europe. Totalitarian nations can always enact partial mobilisation. Both require a big enough stockpile of supplies.;Les dйmocraties ne peuvent adopter la mobilisation partielle que quand ils sont en guerre, ou aprиs le traitй de Munich lorsque leur capitale est en Europe.Les nations totalitaires peuvent quand а elles toujours adopter une mobilisation partielle. Les deux nйcessitent une rйserve importante de ravitaillement.;Le democrazie possono attivare la mobilizzazione solo quando sono in guerra o dopo il Trattato di Monaco se la loro capitale и in Europa. Nazioni totalitarie al contrario possono sempre attivare la mobilizzazione parziale. Entrambi richiedono un ingente quantitativo di rifornimenti.;Las democracias pueden promulgar la movilizaciуn parcial sуlo cuando estбn en guerra, o despuйs del Tratado de Munich cuando su capital se encuentra en Europa. En los paнses totalitarios siempre se puede aprobar la movilizaciуn parcial. Ambos requieren una reserva lo suficientemente grande de suministros.;Demokratien kцnnen nur im Kriegszustand teilweise mobil machen. Nach dem Vertrag von Mьnchen kцnnen Demokratien auch im Frieden teilweise mobil machen, wenn ihre Hauptstadt in Westeuropa liegt. Totalitдre Regierungen kцnnen jederzeit mobilisieren. Fьr beide aber gilt, daЯ eine Mobilmachung nur mцglich ist, wenn sie ausreichende Mengen an Nachschub zur Verfьgung haben.;Demokracje mog№ zdecydowaж siк na czкњciow№ mobilizacjк kiedy s№ w stanie wojny lub po traktacie monachijskim, o ile ich stolica leїy w Europie. Kraje totalitarne mog№ zawsze zarz№dziж czкњciow№ mobilizacjк. W obu przypadkach decyzja ta poci№ga za sob№ duїe koszty zwi№zane z zapasami.;;Демократические государства могут объявить частичную мобилизацию только в том случае, если они находятся в состоянии войны, либо после события 'Мюнхенский договор', либо если столица находится в Европе. Тоталитарные страны могут принять решение о частичной мобилизации в любой момент. В обоих случаях требуется наличие достаточно большого количества припасов.;;;X
8300063desc;General Mobilization means the expansion of the active armed forces by mobilizing all Reserve component units in the existing approved force structure and generate additional units or personnel, beyond the existing force structure, all individual reservists, retired military personnel, and the resources needed for their support to meet the requirements of a war. Reserve personnel can be placed on active duty for the duration of the emergency plus roughly six months.;La mobilisation gйnйrale signifie l'expansion des forces armйes actives en mobilisant toutes les unitйs composant la rйserve dans l'objectif de gйnйrer des unitйs supplйmentaires ou du personnel, au-delа de la mobilisation actuelle des forces. Tous les rйservistes, militaires а la retraite, et les ressources nйcessaires pour leur soutien seront utilisйes pour rйpondre aux exigences d'une guerre. Les rйservistes sont mobilisйs pour la durйe du conflit plus environ 6 mois.;Mobilizzazione Generale significa l'espansione delle forze armate attive tramite la mobilizzazione di tutti i riservisti e la creazione delle risorse necessarie al loro supporto per affrontare i requisiti di una guerra. I riservisti possono essere mantenuti in servizio attivo per la durata dell'emergenza e fino a sei mesi dopo il suo termine.;La movilizaciуn general significa la expansiуn de las fuerzas armadas activas mediante la movilizaciуn de todas las unidades que componen de la Reserva en la estructura actualmente aprobada de las fuerzas existentes y generar las unidades o personal adicional, mбs allб de la estructura de fuerzas existentes, todos los reservistas individuales, personal militar retirado, y los recursos necesarios para su mantenimiento para satisfacer las necesidades de una guerra. El personal de la Reserva se pueden colocar en servicio activo durante la duraciуn de la emergencia y seis meses mбs.;Generelle Mobilmachung bedeutet die Erweiterung der bewaffneteten Streitkrдfte durch Mobilisierung von Reserveeinheiten innerhalb der genehmigten Armeestruktur und Aufstellung neuer Einheiten. Desweiteren umfasst sie die Einberufung aller Reservisten und Reaktivierung bereits im Ruhestand befindlicher Soldaten sowie die Bereitstellung ausreichender Mengen an Nachschub. Reservisten kцnnen bis zum Ende des Notstandes und ungefдhr 6 Monate darьber hinaus mobilisiert werden. ;Generalna mobilizacja oznacza rozszerzenie aktywnych siі wojskowych o wszystkie siіy rezerwy w ramach aktualnej struktury wojsk, jak rуwnieї zaangaїowanie dodatkowych struktur, jak emerytowanych rezerwistуw oraz innych њrodkуw, aby sprostaж potrzebom wojny. Personel rezerwowy moїe byж zaangaїowany przez czas wojny oraz czas 6 miesiкcy po jej zakoсczeniu.;;Всеобщая мобилизация означает увеличение численности действующей армии путем мобилизации всех резервных подразделений, формирования дополнительных подразделений, мобилизации годных лишь в военное время резервистов, отставных военных и накопления ресурсов, необходимых для ведения войны. Кадровый резерв может быть призван на действительную военную службу на весь период военных действий плюс, примерно, шесть месяцев.;;;X
DEC_8300063_DESC;You can only enact General mobilization during wartime and you need a big enough stockpile of supplies.;Vous ne pouvez lancer la mobilisation gйnйral qu'en temps de guerre, et vous avez besoin d'un assez grand stock de ravitaillement.;Puoi approvare la Mobilizzazione Generale solo in tempi di guerra e ti serve una scorta abbastanza ampia di rifornimenti.;Sуlo se puede aprobar la movilizaciуn general en tiempo de guerra y necesita una reserva lo suficientemente grande de suministros;Generelle Mobilmachung kann nur in Kriegszeiten und bei ausreichender Nachschubmenge ausgerufen werden.;Moїesz przeprowadziж generaln№ mobilizacjк tylko podczas wojny i potrzeba do tego bardzo duїych zapasуw.;;Вы можете принять решение о введении всеобщей мобилизации только в военное время и должны иметь в наличии достаточно большое количество припасов.;;;X
8300064name;Extend mobilization further;Elargir la mobilisation;Estendi ulteriormente la mobilizzazione;Ampliar mбs la movilizaciуn;Weitergehende Mobilisierung;Dalsze rozszerzenie poboru;;Дальнейшее расширение мобилизации;;;X
8300064desc;This kind of additional mobilization, includes formerly exempted personal, like men necessary in research and production, but also reducing police and security forces. Further extending your mobilization level is a desperate move that will hurt your economy and increase the risk of revolts.;Ce type de mobilisation supplйmentaire, inclut les personnes anciennement exemptйes, comme les hommes nйcessaires dans les secteurs de la recherche et de la production, mais йgalement des forces de police et de sйcuritй. La mobilisation йlargie est une dйcision dйsespйrйe qui impactera votre йconomie et augmentera le risque de rйvoltes.;Questo tipo di mobilizzazione include persone prima escluso, come uomini necessari alla ricerco o alla produzione, poliziotti e forze di sicurezza. Estendere ulteriormente il livello di mobilizzazione и una mossa disperata che causerа danni alla tua economia e aumenterа il rischio di rivolte.;Este tipo de movilizaciуn adicional, incluye el personal anteriormente eximido, como los hombres necesarios en la investigaciуn y la producciуn, pero tambiйn la reduciendo la policia y las fuerzas de seguridad. Ampliando aъn mбs su nivel de movilizaciуn es un movimiento desesperado que harб daсo a su economнa y aumentarб el riesgo de revueltas.;Diese Form der Mobilmachung umfasst auch zuvor freigestelltes Personal aus Forschung und Produktion sowie die Reduzierung von Polizei und Sicherheitspersonal. Dieser Grad der Mobilmachung ist nur in verzweifelten Situationen angebracht, da er den Unmut der Bevцlkerung stark erhцht und massive Einbrьche der Wirtschaftsleistung hervorruft.;Ten rodzaj mobilizacji obejmuje osoby wczeњniej z niej wyі№czone, jak osoby zaangaїowane w kluczowe procesy badaс i produkcji, jak rуwnieї czкњж siі policyjnych i bezpieczeсstwa. Dalsze rozszerzanie poboru jest desperackim krokiem, ktуry negatywnie odbije siк na gospodarce i zwiкkszy ryzyko rewolt.;;Этот вид дополнительной мобилизации представляет собой призыв мужчин, ранее освобожденных от воинской обязанности по здоровью, занятых на оборонном производстве и в научно-исследовательской деятельности, а также сокращение полиции и сил безопасности. Принятие этого решения - отчаянный шаг, который нанесет значительный ущерб вашей экономике и существенно увеличит риск восстаний в стране.;;;X
DEC_8300064_DESC;Further extending your mobilization level is a desperate move that will hurt your economy and increase the risk of revolts. You will only be able to enact it when you are running out of manpower and have a big enough sockpile of supplies.;L'йlargissement supplйmentaire de votre mobilisation est une action dйsespйrйe qui impactera votre йconomie et augmentera le risque de rйvolte. Vous ne pourrez le faire que lorsque vous serez en manque de main d'oeuvre et que vous avez un stock de ravitaillement assez grand.; Estendere ulteriormente il livello di mobilizzazione и una mossa disperata che causerа danni alla tua economia e aumenterа il rischio di rivolte. Sarai in grado di farlo solo se stai finendo la forza lavoro e hai una riserva abbastanza grande di rifornimenti.;Ampliando aъn mбs su nivel de movilizaciуn es un movimiento desesperado que harб daсo a su economнa y aumentarб el riesgo de revueltas. Usted sуlo serб capaz de ponerlo en prбctica cuando se este quedando sin mano de obra y tienen una reserva de suministros lo suficientemente grande.;Dieser Grad der Mobilmachung ist nur in verzweifelten Situationen angebracht, da er den Unmut der Bevцlkerung stark erhцht und massive Einbrьche der Wirtschaftsleistung hervorruft. Sie kцnnen diese Mobilisierung nur dann ausfьhren, wenn die Zahl der Rekruten erschцpft ist und sie ьber ein ausreichend grosses Nachschublager verfьgen.;Dalsze rozszerzanie poboru jest desperackim krokiem, ktуry negatywnie odbije siк na gospodarce i zwiкkszy ryzyko rewolt. Moїesz zdecydowaж siк na ten krok tylko, jeњli brakuje ci siі ludzkich oraz posiadasz bardzo duїe zapasy.;;Дальнейшее увеличение уровня мобилизации - отчаянный шаг, который нанесет значительный ущерб вашей экономике и существенно увеличит риск восстаний в стране. Вы сможете принять его только тогда, когда исчерпаете все людские ресурсы и будете иметь в запасе достаточно большое количество припасов.;;;X
9000039a;Motorized division;Division motorisйe;Divisione motorizzata;Traer una Divisiуn Motorizada;Motorisierte Division;Dywizja zmotoryzowana;;Моторизованная дивизия;;;X
9000039b;Armor division;Division blindйe;Divisione Corazzata;Comprar unos buenos Tanques;Panzerdivision;Dywizja pancerna;;Танковая дивизия;;;X
9000039c;Interceptors wing;Escadrille d'intercepteurs;Squadrone di Intercettori;Necesitamos Interceptores;Abfangjдger;Eskadra myњliwcуw;;Крыло перехватчиков;;;X
9000039d;Tactical bombers wing;Escadrille de bombardiers;Squadrone di Bomb. Tattici;Como brillan esos Bombarderos Tacticos;Taktische Bomber;Eskadra bombowcуw taktycznych;;Крыло тактических бомбардировщиков;;;X
9000039desc;Purchasing Outdated units means equipping our armies with vehicles sold by other countries instead of those produced by our own industry. If limit ourself to buying slightly outdated models instead of state of the art equipment, we can get a pretty good deal.;;L'acquisto di unitа obsolete significa dotare il nostro esercito con i veicoli venduti da altri paesi, invece di quelli prodotti dalla nostra industria. Se ci limiteremo a comprare un'pт di modelli obsoleti, invece di apparecchiature moderne, potremmo fare un buon affare.;;;Zakup przestarzaіych jednostek oznacza ekwipowanie naszych armii sprzкtem sprzedawanym przez inne kraje zamiast produkcji wіasnego ekwipunku. Jeњli ograniczymy siк do pozyskiwania nieznacznie przestarzaіego sprzкtu zamiast prуby budowy nowoczesnej armii wіasnymi њrodkami, moїemy sporo na tym oszczкdziж.;;Закупка в других странах устаревшей техники для оснащения нашей армии, взамен ее производства собственной промышленностью. Если мы ограничимся закупкой слегка устаревших, а не самых современных моделей, то сможем заключить довольно хорошую сделку.;;;X
9000039name;Purchase Outdated Unit;;Acquista unitа obsolete;;;Kupuj przestarzaіy sprzкt;;Закупка устаревшей техники;;;X
EVT_2002075_NAME;France no longer controls Spanish army;La France ne contrфle plus l'armйe espagnole;La Francia non controlla piщ l'esercito spagnolo;;;Francja nie kontroluje juї hiszpaсskiej armii;;Франция больше не контролирует испанскую армию;;;X
1306222b;Release a Union puppet instead;;Rilasciare un fantoccio sovietico;;;Utwуrz zamiast tego sowieck№ marionetkк;;Освободить советских сателлитов!;;;X
1350000desc;Our country is at peace, may it be an unstable one, it is peace none the less. Maintaining our current level of mobilisation might prove problematic. Soldiers are getting restless and want to return home. It will take at least 3 month for ou country to recover enough to generate new manpower, when you mobilize again.;Notre pays est en paix, qu'elle soit instable ou stable, nous ne sommes pas moins en paix. Le maintien de notre mobilisation а son niveau actuel pourrait se rйvйler problйmatique. Nos soldats veulent rentrer chez eux.;Il nostro paese и in pace, puт essere instabile, ma и in pace. Mantenere il nostro attuale livello di mobilitazione potrebbe rivelarsi problematico. I soldati sono sempre irrequieto e vogliono tornare a casa.;Nuestro paнs estб en paz, aunque esta sea inestable, sigue siendo la paz. El mantenimiento de nuestro nivel actual de la movilizaciуn puede ser problemбtico. Los soldados estan cada vez mбs inquietos y quieren volver a casa. ;Unser Land befindet sich im Frieden. Zwar in einem unsicheren, aber im Frieden. Unseren gegenwдrtigen Grad an Mobilmachung bei zu behalten wird Schwierigkeiten hervorrufen. Unsere Soldaten werden unruhig und wollen zurьck nach Hause.;Nasz kraj jest w stanie pokoju, jeњli nawet niepewnego, to jednak pokoju. Utrzymywanie naszego obecnego poziomu mobilizacji siі moїe byж problematyczne. Їoіnierze staj№ siк rozdraїnieni i chc№ wrуciж do domуw.;;В настоящий момент наша страна находится в мире со всеми другими государствами. Конечно, это весьма зыбкое равновесие может быть нарушено в любой момент, но, тем не менее, мир есть мир. Поэтому сохранение нашего нынешнего уровня мобилизации может оказаться весьма проблематичным. Солдаты начинают выражать недовольство и хотят поскорее вернуться домой.;;;X
1350000name;A People under Arms;Un peuple en armes;Un popolo in armi;El Pueblo en armas;Ein Volk unter Waffen;Ludzie pod broni№;;Люди под ружьем;;;X
1350000text7;End Partial Mobilisation;Finir la mobilisation partielle.;Fine Mobilitazione parziale;Final de la Movilizacion Parcial;Teilmobilmachung beenden;Zakoсcz czкњciow№ mobilizacjк;;Отменить частичную мобилизацию;;;X
1350000text8;End General Mobilisation;Finir la mobilisation gйnйrale;Fine Mobilitazione Generale;Final de la Movilizacion General;Generalmobilmachung beenden;Zakoсcz generaln№ mobilizacjк;;Отменить всеобщую мобилизацию;;;X
1350000textno;We need them ready;Nous avons besoin qu'ils soient prкts.;Abbiamo bisogno di loro;Los necesitamos preparados;Unsere Armee muss bereit stehen;Potrzebujemy ich w gotowoњci;;Нет, армия должна быть готова к войне !;;;X
1350001a;Coup d'etat;Coup d'йtat;Colpo di stato;Golpe de estado;Staatsstreich !;Zamach stanu;;Государственный переворот удался !;;;X
1350001b;The Coup Fails;Le coup йchoue;Il colpo di stato fallisce;El golpe ha facrasado;Der Staatsstreich schlдgt fehl;Zamach siк nie udaje;;Попытка переворота потерпела неудачу…;;;X
1350001c;Civil War breaks out;La guerre civile йclate;Scoppia la guerra civile;Estalla una guerra civil;Bьrgerkrieg;Wybucha wojna domowa;;Это - гражданская война !;;;X
1350001desc;After the prolonged phase of high mobilisation the military established itself as more then equal in influence to the civilian leadership of our country. Now they try to establish themselves as new rulers.;Aprиs la phase de forte mobilisation les militaires ont dorйnavant autant d'influence que le gouvernement civil sur l'avenir du pays. Ils essayent maintenant de prendre le pouvoir.;Dopo una prolungata fase di mobilitazione i militari hanno aumentato la loro influenza, a scapito della leadership civile, nel nostro paese. Ora tentano di installarsi nel governo.;Despuйs de una prolongada fase de una alta movilizaciуn de los militares, los militares se han establecido con mбs o igual influencia que el liderazgo civil de nuestro paнs. Ahora tratan de establecerse como los nuevos gobernantes. ;Durch die lange andauernde Mobilmachung hat das Militдr mittlerweile grцsseren Einfluss auf die Bevцlkerung als die zivilen Verwaltungsorgane. Einige Kommandeure versuchen schon, die Regierung abzusetzen und selber die Macht zu ьbernehmen.;Po przedіuїaj№cej siк fazie wysokiego poziomu mobilizacji siі wojskowych, wojsko uzyskaіo status siіy politycznej i staje siк co najmniej rуwnym partnerem przywуdztwa cywilnego naszego kraju. Prуbuj№ siк teraz wybiж do wіadzy w kraju.;;Вследствие затянувшегося периода мобилизации резко возросло влияние военных на гражданское руководство нашей страны. Теперь они пытаются взять власть в свои руки.;;;X
1350001name;Military tries to take over;Les militaires tentent de prendre le pouvoir.;I militari cercano di prendere il potere;Los militares intentar tomar el control;Das Militдr ьbernimmt die Macht;Wojsko prуbuje przej№ж kontrolк;;Попытка военного переворота;;;X
