Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'The ultimate measure of a man is not where he stands in moments of comfort, but where he stands at times of challenge and controversy.';Martin Luther King Jr.;'Ce que voulait la populace, c'йtait d'accйder а l'Histoire, mкme au prix de l'auto-destruction.';Hannah Arendt;'Il valore definitivo di un uomo non si misura quando resiste nei momenti confortevoli, ma quando resiste in tempo di sfide e controversie.';Martin Luther King Jr.;'El valor final de un hombre no se mide por donde se encuentra en los buenos momentos, sino por donde se encuentra en los momentos duros.';Martin Luther King Jr.;'Die ultimative Messlatte eines Mannes ist nicht wie er sich in einem Moment der Annehmlichkeit verhдlt, sondern in Zeiten der Prьfung und Streit.';Martin Luther King Jr.;'Ostateczn№ miar№ czіowieka nie jest to jak postкpuje w momentach spokoju, lecz co czyni w czasach trudуw i w№tpliwoњci.';Martin Luther King Jr.;;;'Истинное лицо человека показывается не когда он живет в комфорте и роскоши, а когда приходит время лишений и испытаний';Мартин Лютер Кинг младший
'All nations want peace, but they want a peace that suits them.';Admiral Sir John Fisher;'Toutes les nations veulent la paix. Mais elles veulent une paix qui leur convienne.';Amiral Sir John Fisher;'Tutte le nazioni vogliono la pace, ma vogliono una pace che vada bene a loro.';Admiral Sir John Fisher;'Todas las naciones quieren la paz, pero quieren una paz que se adapte a ellos.';Admiral Sir John Fisher;'Alle Nationen wollen Frieden, Aber sie wollen einen Frieden zu ihren Bedingungen.';Admiral Sir John Fisher;'Wszystkie narody pragn№ pokoju, lecz pokoju takiego jaki im odpowiada.';Admiral Sir John Fisher;;;'Все народы хотят мира, но того, который устраивал бы их.';Адмирал Джон Фишер
'War is eternity jammed into frantic minutes that will fill a lifetime with dreams and nightmares.';John Cory;'Les mouvements totalitaires avaient moins besoin de l'absence de structure d'une sociйtй de masse, que des conditions spйcifiques d'une masse atomisйe.';Hannah Arendt;'La guerra и un'eternitа incastrata in un minuto che riempirа una vita con sogni e incubi.';John Cory;'La guerra es una eternidad atrapara en unos minutos que destruirбn una vida con sueсos y pesadillas.';John Cory;'Krieg ist eine Ewigkeit, gezwдngt in hektische Minuten, die eine Lebenszeit mit Trдumen und Alptrдumen fьllt.';John Cory;'Wojna jest wiecznoњci№ wciњniкt№ w szalone minuty, ktуre wypeіni№ їywoty marzeniami i koszmarami.';John Cory;;;'Война это бесконечность, спрессованая в минуты, полные безумия и ужаса.';Джон Кори
'The belief in the possibility of a short decisive war appears to be one of the most ancient and dangerous of human illusions.';Robert Lynd;'La croyance en la possibilitй d'une guerre courte et dйcisive est l'illusion la plus ancienne et la plus dangereuse.';Robert Lynd;'Credere nella possibilitа di una guerra corta e decisiva sembra essere una delle piщ antiche e pericolose illusioni dell'umanitа.';Robert Lynd;'La creencia en una guerra corta y decisiva parece ser la mas antigua y peligrosa ilusiуn humana.';Robert Lynd;'Der glaube an einen kurzen und entscheidenen Krieg scheint eine der дltesten und gefдhrlichsten menschlichen Illusionen zu sein.';Robert Lynd;'Wiara w moїliwoњж przeprowadzenia krуtkiej decyduj№cej wojny wydaje siк jedn№ z najstarszych i najbardziej niebezpiecznych ludzkich iluzji.';Robert Lynd;;;'Вера в маленькую победоносную войну это самое опасное заблуждение.';Роберт Линд
'The tree of liberty must be refreshed, from time to time, with the blood of patriots and tyrants.';Thomas Jefferson;'C'est par la violence qu'on doit йtablir la libertй.';Jean-Paul Marat;'L'albero della libertа deve essere rinfrescato, di tanto in tanto, con il sangue di patrioti e di tiranni.';Thomas Jefferson;'El бrbol de la libertad debe ser renovado, de tiempo en tiempo, con la sangre de hйroes y tiranos.';Thomas Jefferson;'Der Baum der Freiheit muss ab und zu mit dem Blut von Patrioten und Tyrannen getrдnkt werden.';Thomas Jefferson;'Drzewo wolnoњci musi byж podlewane od czasu do czasu krwi№ patriotуw i tyranуw.';Thomas Jefferson;;;'Время от времени, древо свободы надо орошать кровью тиранов и патриотов.';Томас Джефферсон
'A man may die, nations may rise and fall, but an idea lives on.';John F. Kennedy;'La force et la faiblesse des dictateurs est d'avoir fait un pacte avec le dйsespoir des peuples.';Georges Bernanos;'Un uomo puт morire, nazioni nascere e scomparire, ma un'idea sopravvive.';John F. Kennedy;'Un hombre puede morir, las naciones pueden alzarse y caer, pero los ideales siempre perduran';John F. Kennedy;'Ein Mann mag sterben, Nationen mцgen aufsteigen und wieder fallen, aber eine Idee lebt fьr immer.';John F. Kennedy;'Czіowiek umiera, narody powstaj№ i upadaj№, lecz idea їyje.';John F. Kennedy;;;'Человек может умереть, у наций бывают рассветы и закаты, но идея живет вечно.';Джон Кеннеди
'We sleep safely in our beds because rough men stand ready in the night to visit violence on those who would harm us.';George Orwell;'Quel que soit le prix de la dйfense, il sera toujours infйrieur au prix de la servitude.';Luc de Clapiers de Vauvenargues;'Noi possiamo dormire al sicuro nei nostri letti perchй uomini duri sono pronti nella notte a portare violenza a coloro che ci farebbero del male.';George Orwell;'Dormimos seguros en nuestras camas, porque hombres duros estбn de noche preparados para reprimir duramente a aquellos que quieren hacernos daсo.';George Orwell;Wir schlafen sicher in unseren Betten, weil harte Mдnner in der Nacht bereit stehen jenen Gewalt anzutun, die uns schaden wollen.';George Orwell;'Њpimy spokojnie w naszych іуїkach, poniewaї twardzi ludzie czuwaj№ noc№ by odpowiedzieж na przemoc tych, ktуrzy pragn№ nas skrzywdziж.';George Orwell;;;'Мы спим спокойно потому, что наши дома защищают суровые люди, готовые встретить любую опасность';Джордж Оруэлл
'A leader leads by example, not by force.';Sun Tzu;'Un chef dirige par l'exemple, non par la force.';Sun Tzu;'Un leader guida col suo esempio, non con la forza.';Sun Tzu;'Un lнder lidera con el ejemplo, no con la fuerza.';Sun Tzu;Alle Anfьhrer fьhren anhand ihres Beispiels, nicht mit Gewalt.';Sun Tzu;'Przywуdca prowadzi przykіadem, nie siі№.';Sun Tzu;;;'Лидер ведет за собой собственным примером, а не страхом.';Сунь-Цзы
'Let your plans be as dark and impenetrable as night, and when you move, fall like a thunderbolt.';Sun Tzu;'Arrivez comme le vent et frappez comme l'йclair...';Sun Tzu;'Fa in modo che i tuoi piani siano oscuri e impenetrabili come la notte, e quando decidi di muoverti, colpisci come un fulmine.';Sun Tzu;'Deja que tus planes sean tan oscuros e impenetrables como la noche, y cuando te muevas, hazlo igual que cuando cae un relбmpago.';Sun Tzu;Lass Deine Plдne dunkel und unduchdringlich sein wie die Nacht, und wenn du deinen Zug machst, schlage zu so schnell wie der Blitz.';Sun Tzu;'Niech twoje plany bкd№ ciemne i nieprzeniknione jak noc, a kiedy ruszasz, spadaj niby piorun.';Sun Tzu;;;'Пусть ваши планы будут скрыты ото всех, как во мраке ночи. Тогда неожиданность ваших действий будет подобна молнии.';Сунь-Цзы
'Anyone who truly wants to go to war has truly never been there before.';Larry Reeves;'La rиgle, c'est que le Gйnйral qui triomphe est celui qui est le mieux informй.';Sun Tzu;'Chiunque voglia davvero andare in guerra non ci и mai stato prima.';Larry Reeves;'Cualquiera que realmente quiera ir a la guerra, es porque realmente nunca ha estado en ella.';Larry Reeves;Jeder der wirklich in den Krieg ziehen will, war jemals dort.';Larry Reeves;'Ktokolwiek naprawdк pragnie iњж na wojnк, nigdy tam nie byі.';Larry Reeves;;;'Тот, кто хочет пойти на войну еще ни разу там не бывал.';Ларри Ривс
'Mankind must put an end to war or war will put an end to mankind.';John F. Kennedy;'L'humanitй devra mettre un terme а la guerre, ou la guerre mettra un terme а l'humanitй.';John F. Kennedy;'L'umanitа deve porre fine alle guerre o le guerre porranno fine all'umanitа.';John F. Kennedy;'La humanidad debe acabar con las guerras o las guerras acabaran con la humanidad.';John F. Kennedy;'Die Menschheit muss dem Krieg ein Ende setzen, oder der Krieg setzt der Menschheit ein Ende.';John F. Kennedy;'Rodzaj ludzki musi zakoсczyж wojnк lub wojna zakoсczy istnienie rodzaju ludzkiego.';John F. Kennedy;;;'Разум должен искоренить войны, или войны искоренят разум.';Джон Кеннеди
'So long as there are men, there will be war.';Albert Einstein;'Tant qu'il y aura des hommes, il y aura des guerres.';Albert Einstein;'Finchй ci saranno uomini, ci saranno guerre.';Albert Einstein;'Mientras existan los hombres, existirбn las guerras.';Albert Einstein;'So lang es Menschen gibt, wird es Krieg geben.';Albert Einstein;'Tak dіugo jak bкdzie czіowiek, bкdzie rуwnieї wojna.';Albert Einstein;;;'Пока человек существует, будут вестись войны.';Альберт Эйнштейн
'You can make a throne of bayonets but you can't sit on it for long.';Boris Yeltsin;'La rйvolution consiste а aimer un homme qui n'existe pas encore.';Albert Camus;'Puoi costruire un trono di baionette, ma non puoi sederci sopra a lungo.';Boris Yeltsin;'Puedes construir un trono con bayonetas, pero no serб por mucho tiempo.';Boris Yeltsin;'Du kannst einen Thron aus Bajonetten erbauen, aber du kannst nicht lange auf ihm sitzen.';Boris Nikolajewitsch Jelzin;'Moїesz zbudowaж z bagnetуw tron, ale nie usiedzisz na nim zbyt dіugo.';Borys Jelcyn;;;'Можно сложить трон из штыков, но как долго ты просидишь на нем?';Борис Ельцин
'The purpose of war is to support your government's decisions by force.';Robert Heinlein;'La fin justifie les moyens. Mais qu'est-ce qui justifiera la fin ?';Albert Camus;'Lo scopo della guerra и sostenere le decisioni del tuo governo con la forza.';Robert Heinlein;'El propуsito de la guerra es apoyar las decisiones del gobierno por la fuerza.';Robert Heinlein;Der Zweck des Krieges ist es, die Entscheidungen einer Regierung mit Gewalt durchzusetzen.';Robert Heinlein;'Celem wojny jest wspieranie decyzji rz№du siі№.';Robert Heinlein;;;'Цель войны - достижение целей государства силой.';Роберт Энсон Хайнлайн
'A war is not lost until you consider it lost.';Erich von Manstein;'Une guerre n'est pas perdue tant qu'on ne la considиre pas comme perdue.';Marйchal Erich von Manstein;'Una guerra non и persa finchй tu non la consideri persa.';Erich von Manstein;'La guerra nunca estarб perdida hasta que tu asн lo pienses.';Erich von Manstein;'Ein Krieg ist nicht verloren, bis du ihn selbst fьr verloren hдltst.';Erich von Manstein;'Wojna nie jest przegrana dopуki nie uznasz jej za tak№.';Erich von Manstein;;;'Война проигрывается, когда вы думаете, что она проиграна.';Эрих фон Манштейн
'War never ends, it only pales, reddens, blackens, and lightens again.';Stephen Rawn;'Je fais а la France le don de ma personne pour attйnuer son malheur.';Philippe Pйtain;'La guerra non finisce mai, si limita ad impallidire, arrossire, oscurarsi e illuminarsi nuovamente.';Stephen Rawn;'La guerra nunca acaba, sуlo se palidece, se enrojece, se oscuriza, y se aclara de nuevo.';Stephen Rawn;'Krieg endet niemals, er verblasst, er glьht, er verdunkelt und entflammt aufs neue.';Stephen Rawn;'Wojna nigdy siк nie koсczy, jedynie blednie, czerwieni siк, ciemnieje i rozbіyska na nowo.';Stephen Rawn;;;'Война не прекращается, она только меняет свой цвет.';Стефен Роун
'History does not long entrust the care of freedom to the weak, or the timid.';Dwight D. Eisenhower;'Je les grignote.';Joseph Joffre, en rйponse а une question sur sa nouvelle stratйgie а la fin de la guerre des tranchйes;'La storia non affida mai a lungo la protezione della libertа al debole o al timido.';Dwight D. Eisenhower;'La historia ya no confiara el cuidado de la democracia a los cobardes o a los tнmidos.';Dwight D. Eisenhower;'Die Geschichte vertraut die Sorge fьr die Freiheit nicht lдnger den Schwachen und Zцgerlichen an.';Dwight D. Eisenhower;'Historia nie poњwiкca na dіugo obrony wolnoњci sіabym lub bojaџliwym.';Dwight D. Eisenhower;;;'История больше не ручается за веру в свободу слабых и робких.';Дуайт Эйзенхауэр
'If soldiers were to begin to think, not one of them would remain in the army.';Frederik the Great;'Si les soldats commenзaient а penser, aucun ne resterait dans l'armйe.';Frйdйric le Grand;'Se i soldati iniziassero a pensare, nessuno di loro rimarrebbe nell'esercito.';Federico il Grande;'Si los soldados empezaran a pensar, ninguno de ellos permanecerнa en el ejercito.';Frederik the Great;Wenn Soldaten beginnen wьrden nachzudenken, wьrde nicht ein einziger von ihnen in der Armee bleiben.';Friedrich der GroЯe;'Jeїeli їoіnierze mieliby zacz№ж myњleж, nikt nie pozostaіby w armii.';Fryderyk Wielki;;;'Если бы солдат начал думать, в армии не осталось бы солдат.';Фридрих Великий
'In war, the morale is to the material as three is to one.';Napoleon Bonaparte;'L'obйissance aux chefs immйdiats ne doit en aucun cas кtre contestйe, elle constitue une obligation impйrative dont le respect ne peut кtre considйrй ultйrieurement comme une faute.';Maxime Weygand;'In guerra, il morale sta all'equipaggiamento come tre sta a uno.';Napoleone Bonaparte;'En la guerra, lo moral es a lo material en relaciуn de tres a uno.';Napoleon Bonaparte;'Im Krieg ist die Moral zu dem was Wesentlich ist, wie die Drei zur Eins';Napoleon Bonaparte;'W czasie wojny znaczenie morale w stosunku do zaopatrzenia jest jak trzy do jednego.';Napoleon Bonaparte;;;'На войне мораль в три раза важнее чем численность.';Наполеон Бонапарт
'When the rich make war, it's the poor that die.';Jean Paul Sartre;'Dans les pantalons de Hitler, les fesses de Goering seraient а l'aise.';Benito Mussolini;'Quando i ricchi fanno guerra, sono i poveri a morire.';Jean Paul Sartre;'Cuando los ricos hacen la guerra, son los pobres los que mueren';Jean Paul Sartre;'Wenn die Reichen Krieg fьhren, sind es die Armen die sterben.';Jean Paul Sartre;'Kiedy bogaci wymyњlaj№ wojnк, to biedni gin№.';Jean Paul Sartre;;;'Когда богатые начинают войну, на ней гибнут бедные';Жан-Поль Сартр
'Sweat saves blood, blood saves lives, brain save both.';Erwin Rommel;'La sueur йpargne le sang, le sang йpargne les vies, et l'intelligence йpargne les deux.';Erwin Rommel;'Il sudore salva il sangue, il sangue salva la vita, il cervello salva entrambi.';Erwin Rommel;'El sudor ahorra sangre, la sangre ahorra vidas, el cerebro ahora ambas.';Erwin Rommel;'SchweiЯ bewahrt Blut, Blut bewahrt Leben, und Hirn bewahrt beides';Erwin Rommel;'Pot oszczкdza krew, krew ratuje їycia, rozum zachowuje jedno i drugie.';Erwin Rommel;;;'Пот сохраняет кровь, кровь сохраняет жизни, разум сохраняет их все.';Эрвин Роммель
'War does not decide who wins, war decides who lives';Zoltan Bathory;'La guerre ne dйcide pas de qui gagne mais de qui survit.';Zoltan Bathory;'La guerra non decide chi vince, la guerra decide chi vive.';Zoltan Bathory;'La guerra no decide quien gana, decide quien muere';Zoltan Bathory;Krieg entscheidet nicht wer gewinnt, Krieg entscheidet wer ьberlebt.';Zoltan Bathory;'Wojna nie decyduje kto wygrywa, wojna decyduje kto ma przeїyж.';Zoltan Bathory;;;'Война не решает, кто победил, она решает, кто выжил.';Золтан Батори
'What is War Crimes when war in itself is a crime?';Calvin Austin;'Qu'est-ce qu'un Crime de Guerre quand la guerre elle-mкme est un crime ?';Calvin Austin;'Cosa sono i Crimini di Guerra quando la guerra da sola и un crimine?';Calvin Austin;'їQuй significa Crнmenes de Guerra, cuando la guerra en si es un crimen?';Calvin Austin;'Was sind Kriegsverbrechen, wenn Krieg selbst ein Verbrechen ist?';Calvin Austin;'Co to s№ Zbrodnie Wojenne kiedy sama wojna jest zbrodni№?';Calvin Austin;;;'Какие могут быть военные преступления, если война сама - преступление?';Кальвин Остин
'Let us have a dagger between our teeth, a bomb in our hands and an infinite scorn in our hearts.';Benito Mussolini;'Le peuple peut toujours кtre converti а la cause des dirigeants, il suffit de leur dire qu'ils sont attaquйs et dйnoncer les pacifistes;pour leur manque de patriotisme qui expose le pays au danger. Cela marche de la mкme maniиre dans tous les pays.' Hermann Goering;'Dobbiamo avere un coltello tra i denti, un bomba nelle nostre mani e un infinito disprezzo nei nostri cuori.';Benito Mussolini;'Dejar que tengamos un puсal entre los dientes, una bomba entre las manos y un desprecio infinito en nuestros corazones.';Benito Mussolini;'Lasst uns ein Messer zwischen den Zдhnen, eine Bombe in der Hand und endlose Verachtung in unseren Herzen haben.';Benito Mussolini;'Miejmy sztylet w naszych zкbach, bombк w naszych rкkach i nieskoсczon№ pogardк w naszych sercach.';Benito Mussolini;;;'Дайте нам кинжал в зубы, бомбу в наши руки и бесконечное презрение в наши сердца';Бенито Муссолини
'The truth is that men are tired of liberty.';Benito Mussolini;'A dire vrai, les hommes sont fatiguйs d'кtre libres.';Benito Mussolini;'La veritа и che gli uomini sono stanchi della libertа.';Benito Mussolini;'La verdad es que los hombres estбn cansados de la libertad.';Benito Mussolini;'Die Wahrheit ist, dass die Menschen der Freiheit mьde sind.';Benito Mussolini;'Prawda jest taka, їe ludzie s№ zmкczeni wolnoњci№.';Benito Mussolini;;;'Истина в том, что люди устали от свободы.';Бенито Муссолини
'Blood alone moves the wheels of history.';Benito Mussolini;'Seul le sang fait tourner la roue de l'Histoire.';Benito Mussolini;'Solo il sangue muove le ruote della storia.';Benito Mussolini;'Solo la sangre mueve los motores de la historia.';Benito Mussolini;'Blut allein treibt die Rдder der Geschichte voran.';Benito Mussolini;'Krew sama porusza koіa historii.';Benito Mussolini;;;'Только кровь вертит колесо истории.';Бенито Муссолини
'Let us be firm, pure and faithful, at the end of our sorrow, there is the greatest glory of the world, that of the men who did not give in.';Charles de Gaulle;'Paris, Paris outragйe, Paris brisйe, Paris martyrisйe, mais Paris libйrйe…';Charles de Gaulle;'Dobbiamo rimanere risoluti, puri e fedeli, alla fine del nostro dolore c'и la piщ grande gloria del mondo, quella degli uomini che non si sono arresi.';Charles de Gaulle;'Permanezcamos firmes, puros y fieles, al final de nuestro dolor, la gloria mas grande del mundo serб para aquellos hombres que no se dieron por vencidos.';Charles de Gaulle;Lasst uns entschlossen, rein und treu sein, denn am Ende unseres Leidens erwartet uns der grцsste Ruhm dieser Welt, der Ruhm jener Mдnner die nicht bereit waren aufzugeben.';Charles de Gaulle;'B№dџmy zdecydowani, czyњci i peіni wiary, na koсcu naszego cierpienia jest najwiкksza chwaіa њwiata, chwaіa ludzi ktуrzy siк nie poddali.';Charles de Gaulle;;;'Давайте останемся стойкими, чистыми и преданными  в момент нашего горя, это великая честь, что остались люди, которые не сдались.';Шарль де Голль
'The sword is the axis of the world and grandeur cannot be divided.';Charles de Gaulle;'C'est grвce а l'Armйe d'Afrique que la France a retrouvй non seulement le chemin de la victoire et la foi en son armйe, mais aussi et surtout l'Honneur et la Libertй.';Joseph de Goislard de Monsabert;'La spada и l'asse del mondo e la grandezza non puт essere divisa.';Charles de Gaulle;'La espada es el eje del mundo y la grandeza no puede ser dividida.';Charles de Gaulle;'Das Schwert ist die Achse der Welt und seine Erhabenheit kann nicht geteilt werden.';Charles de Gaulle;'Miecz jest osi№ њwiata i wspaniaіoњж nie moїe byж podzielona.';Charles de Gaulle;;;'Меч - это ось мира, и величие страны неотделимо от величия ее армии';Шарль де Голль
'The leader is always alone before bad fates.';Charles de Gaulle;'La France a perdu une bataille, mais la France n'a pas perdu la guerre.';Charles de Gaulle;'Il condottiero и sempre solo di fronte al destino avverso.';Charles de Gaulle;'Los lideres siempre afrontan solos las adversidades.';Charles de Gaulle;'Ein Anfьhrer ist immer allein im Angesicht des Unglьcks.';Charles de Gaulle;'Przywуdca jest zawsze sam naprzeciwko zіych kolei losu.';Charles de Gaulle;;;'Франция проиграла сражение, но Франция не проиграла войну';Шарль де Голль
'Whether you like it or not, history is on our side. We will dig you in.';Nikita Krutschev;'Que cela vous plaise ou non, l'Histoire est de notre cфtй. Et nous vous y enterrerons.';Nikita Krutschev;'Che vi piaccia o meno, la storia и dalla nostra parte. Noi vi seppelliremo.';Nikita Krutschev;'Os guste o no, la historia esta de nuestro lado y os vamos a enterrar dentro.';Nikita Krutschev;Ob es euch gefдllt oder nicht, die Geschichte ist auf unserer Seite. Wir werden euch darin begraben.';Nikita Chruschtschow;'Czy to wam siк podoba czy nie, historia jest po naszej stronie. Sprawimy, їe to zrozumiecie.';Nikita Chruszczow;;;'Нравится вам это или нет, но история на нашей стороне. Мы вас закопаем!';Никита Хрущев
'I fear all we have done is to awaken a sleeping giant and fill him with a terrible resolve.';Isoroku Yamamoto, 7 December 1941;'Je crains que nous n'ayons rйveillйs un gйant.';Isoroku Yamamoto, 7 Dйcembre 1941;'Temo che l'unica cosa che abbiamo ottenuto sia stata di svegliare un gigante addormento e riempirlo di una terribile risolutezza.';Isoroku Yamamoto, Dicembre 1941;'Me temo que todo lo que hemos hecho es despertar a un gigante dormido y rellenarlo con una terrible decisiуn.';Isoroku Yamamoto, 7 de Diciembre de 1941;Ich fьrchte, dass einzige was wir erreicht haben, ist, einen schlafenden Riesen zu wecken und ihn mit einer fьrchterlichen Entschlossenheit zu fьllen.';Isoroku Yamamoto, Dezember 1941;'Obawiam siк, їe wszystko co osi№gnкliњmy to zbudzenie њpi№cego olbrzyma i napeіnienie go pragnieniem straszliwej zemsty.';Isoroku Yamamoto, grudzieс 1941;;;'Я боюсь, что мы разбудили спящего исполина и он теперь полон гнева.';Исоруко Ямамото, 7-го декабря 1941 г.
'If the tanks succeed, then victory follows.';Heinz Guderian;'Si les chars rйussissent, la victoire suivra.';Heinz Guderian;'Se i carri armati hanno successo, allora arriva la vittoria.';Heinz Guderian;'Si los blindados lo consiguen, lo siguiente es la victoria.';Heinz Guderian;'Wenn die Panzer vorrьcken, folgt der Sieg.';Heinz Guderian;'Jeњli czoіgom siк uda, potem nastкpuje zwyciкstwo.';Heinz Guderian;;;'Если танки сумели, значит мы победили.';Гейнц Гудериан
'Politics is war without bloodshed, while war is politics with bloodshed.';Mao Zedong;'La politique est une guerre sans effusion de sang et la guerre une politique sanglante.';Mao Zedong;'La politica и la guerra senza spargimenti di sangue mentre la guerra и la politica con spargimenti di sangue.';Mao Zedong;'La polнtica es la guerra sin derramamiento de sangre, mientras la guerra es la polнtica con derramamiento de sangre.';Mao Zedong;'Politik ist Krieg ohne Blutvergiessen, wдhrend Krieg Politik mit Hilfe von Blutvergiessen ist.';Mao Tse-tung;'Polityka jest wojn№ bez rozlewu krwi, zaњ wojna krwaw№ polityk№.';Mao Zedong;;;'Политика это война без кровопролития. А война это политика с кровопролитием.';Мао Цзе Дун
'The more people you kill, the more revolutionary you are. ';Mao Zedong;'Plus vous tuez de gens, plus vous кtes rйvolutionnaire.';Mao Zedong;'Piщ persone uccidi, piщ rivoluzionario diventi.';Mao Zedong;'Cuanta mas gente mates, mas revolucionario serбs. ';Mao Zedong;Je mehr Menschen Du tцtest, um so revolutionдrer bist Du.';Mao Tse-tung;'Im wiкcej ludzi zabijesz, tym bardziej rewolucyjny jesteњ.';Mao Zedong;;;'Чем больше людей ты убил, тем лучший ты революционер.';Мао Цзе Дун
'Without an army for the people, there is nothing for the people.';Mao Zedong;'Sans une armйe pour le peuple, il n'y a rien pour le peuple.';Mao Zedong;'Senza un esercito per il popolo, il popolo non ha niente.';Mao Zedong;'Sin un ejercito para el pueblo, no habrб nada para el pueblo.';Mao Zedong;Ohne eine Armee fьr das Volk, gibt es gar nichts fьr das Volk';Mao Tse-tung;'Bez armii dla ludu, nie ma nic dla ludu.';Mao Zedong;;;'Если у народа нет армии, у него нет ничего.';Мао Цзе Дун
'Wars may be fought with weapons, but they are won by men.';George S. Patton;'Les guerres se font avec des armes mais sont remportйes par des hommes.';George S. Patton;'Le guerre possono essere combattute con le armi, ma sono vinte dagli uomini.';George S. Patton;'Las guerras pueden ser libradas por las armas, pero son ganadas por los hombres.';George S. Patton;'Kriege mцgen mit Waffen gefьhrt werden, aber sie werden von Mдnnern gewonnen.';George S. Patton;'Wojny mog№ byж prowadzone przy uїyciu broni, ale s№ wygrywane przez ludzi.';George S. Patton;;;'Войну можно выиграть оружием, но выигрывают ее люди.';Джордж Паттон
'Never tell people how to do things. Tell them what to do, and they will surprise you with their ingenuity.';George S. Patton;'Quand j'entends le mot culture, j'enlиve le cran de suretй de mon Browning.';Hanns Johst, dramaturge national-socialiste;'Non dire mai alla gente come fare le cose. Dм loro cosa fare, e loro ti sorprenderanno con la loro ingenuitа.';George S. Patton;'Nunca le digas a la gente como hacer su trabajo. Diles que hacer y ellos te sorprenderбn con su ingenio.';George S. Patton;Sage Deinen Leute nie wie sie etwas zu tun haben. Sage ihnen was sie tun sollen, und sie werden Dich mit ihrem Einfallsreichtum ьberraschen.';George S. Patton;'Nigdy nie mуw ludziom jak coњ maj№ robiж. Powiedz im co maj№ robiж, a oni zaskocz№ ciк swoj№ genialnoњci№.';George S. Patton;;;'Никогда не говори людям, как идет война. Скажи им, что требуется сделать, и они удивят тебя своей изобретательностью.';Джордж Паттон
'Don't fight a battle if you don't gain anything by winning.';George S. Patton;'Colonisation : tкte de pont dans une civilisation de la barbarie d'oщ, а n'importe quel moment, peut dйboucher la nйgation pure et simple de la civilisation.';Aimй Cйsaire;'Non combattere una battaglia se vincendola non otterresti nulla.';George S. Patton;'Nunca luches en la batalla en la que no conseguirбs nada con la victoria.';George S. Patton;'Lasse dich auf keinen Kampf ein, falls du nichts erreichst wenn du ihn gewinnst.';George S. Patton;'Nie walcz w bitwie, jeњli nie zyskasz nic na zwyciкstwie.';George S. Patton;;;'Не начинай сражения, если победа тебе ничего не даст.';Джордж Паттон
'With stout hearts, and with enthusiasm for the contest, let us go forward to victory.';Bernard Law Montgomery, 5 June 1944;'Ce qui compte ce n'est pas le vote, c'est comment on compte les votes.';Josef Stalin;'Con cuori robusti ed entusiasmo per la sfida, andiamo avanti verso la vittoria.';Bernard Law Montgomery, 5 Giugno 1944;'Con un corazуn valiente, y entusiasmo por la contienda, vamos adelante con al victoria.';Bernard Law Montgomery, 5 de Junio de 1944;Mit entschlossenem Herzen und Begeisterung fьr den Wettkampf, lasst uns vorwдrts schreiten zum Sieg.';Bernard Law Montgomery, 5 Juni 1944;'Z niewzruszonymi sercami i z entuzjazmem dla czynуw, idџmy naprzуd ku zwyciкstwu.';Bernard Law Montgomery, 5 czerwca 1944;;;'Пусть сила наших сердец и вера в нашу правоту ведет нас к победе.';Бернард Монтгомери, 5-го июня 1944 г.
'No revolution is worth anything unless it can defend itself.';Vladimir Lenin;'Une rйvolution ne vaut rien si elle ne sait pas se dйfendre.';Vladimir Lйnine;'Una rivoluzione non vale nulla se non и in grado di difendersi.';Vladimir Lenin;'Ninguna revoluciуn sirve de nada a menos que pueda defenderse por si misma.';Vladimir Lenin;'Keine Revolution ist etwas wert, bis sie sich selbst verteidigen kann.';Vladimir Lenin;'Їadna rewolucja nie jest niczego warta dopуki nie potrafi siebie obroniж.';Wіodzimierz Lenin;;;'Революция не стоит ничего, если она не может защитить себя';Владимир Ленин
'Pacifism, the preaching of peace in the abstract, is one of the means of duping the working class.';Vladimir Lenin;'La citatiomanie est notre plus grande ennemie.';Vladimir Lйnine;'Il pacifismo, il predicare astrattamente la pace, и uno dei mezzi per imbrogliare la classe operaia.';Vladimir Lenin;Pacifismo, la predicaciуn abstracta de la paz, es una de las formas de engaсar a la clase obrera. ';Vladimir Lenin;'Pazifismus, das predigen von Frieden in seiner abstrakten Form, ist eine der Mцglichkeiten die Arbeiterklasse zu tдuschen.';Vladimir Lenin;'Pacyfizm, abstrakcyjne umiіowanie pokoju, jest jednym ze sposobуw ogіupiania klasy pracuj№cej.';Wіodzimierz Lenin;;;'Одной из форм одурачения рабочего класса является пацифизм и абстрактная проповедь мира.';Владимир Ленин
'Oppression is the essence of power.';Ernst Kaltenbrunner;'L'oppression est l'essence du pouvoir.';Ernst Kaltenbrunner;'L'oppressione и l'essenza del potere.';Ernst Kaltenbrunner;'La opresiуn es la esencia del poder.';Ernst Kaltenbrunner;'Unterdrьckung ist die Essenz der Macht.';Ernst Kaltenbrunner;'Opresja jest esencj№ wіadzy.';Ernst Kaltenbrunner;;;'Притеснение - сущность силы.';Эрнст Кальтенбрунер
